TP,TN,FP,FN,iteration,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
423,153,5,6,1,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
421,152,7,7,2,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,152,7,7,3,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,152,7,7,4,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,152,7,7,5,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,152,7,7,6,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,152,7,7,7,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,152,7,7,8,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,152,7,7,9,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,152,7,7,10,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
