TP,TN,FP,FN,iteration,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
421,154,7,5,1,0.97955707,0.02044293,0.98364486,0.988262911,0.988262911,0.043478261,0.956521739,0.985948478,12
418,155,10,4,2,0.976149915,0.023850085,0.976635514,0.990521327,0.990521327,0.060606061,0.939393939,0.983529412,14
417,155,11,4,3,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
417,155,11,4,4,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
417,155,11,4,5,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
417,155,11,4,6,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
417,155,11,4,7,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
418,155,10,4,8,0.976149915,0.023850085,0.976635514,0.990521327,0.990521327,0.060606061,0.939393939,0.983529412,14
419,155,9,4,9,0.977853492,0.022146508,0.978971963,0.990543735,0.990543735,0.054878049,0.945121951,0.984723854,13
418,155,10,4,10,0.976149915,0.023850085,0.976635514,0.990521327,0.990521327,0.060606061,0.939393939,0.983529412,14
