TP,TN,FP,FN,iteration,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
419,154,9,5,1,0.976149915,0.023850085,0.978971963,0.988207547,0.988207547,0.055214724,0.944785276,0.983568075,14
408,157,20,2,2,0.962521295,0.037478705,0.953271028,0.995121951,0.995121951,0.11299435,0.88700565,0.973747017,22
418,158,10,1,3,0.981260647,0.018739353,0.976635514,0.997613365,0.997613365,0.05952381,0.94047619,0.987012987,11
418,154,10,5,4,0.974446337,0.025553663,0.976635514,0.988179669,0.988179669,0.06097561,0.93902439,0.982373678,15
411,157,17,2,5,0.967632027,0.032367973,0.960280374,0.995157385,0.995157385,0.097701149,0.902298851,0.977407848,19
414,156,14,3,6,0.971039182,0.028960818,0.96728972,0.992805755,0.992805755,0.082352941,0.917647059,0.979881657,17
419,151,9,8,7,0.971039182,0.028960818,0.978971963,0.981264637,0.981264637,0.05625,0.94375,0.980116959,17
423,153,5,6,8,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
421,152,7,7,9,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
423,154,5,5,10,0.982964225,0.017035775,0.988317757,0.988317757,0.988317757,0.031446541,0.968553459,0.988317757,10
