gen,conv1,conv2,conv3,filter1,filter2,filter3,acc
1,29,45,75,4,4,5,99.0522027
2,29,45,75,4,4,5,99.02390838
3,29,45,75,4,4,5,98.99561405
4,29,45,75,4,4,5,98.78342152
5,29,45,75,4,4,5,98.91073704
6,32,49,75,5,4,5,99.09464121
7,32,49,75,5,4,5,99.06634688
8,32,49,75,5,4,5,98.72683287
9,32,49,75,5,4,5,98.88244271
10,38,47,79,4,5,13,99.30683374
11,37,47,77,4,4,11,99.32097793
12,41,47,82,4,4,16,99.33512807
13,40,47,79,4,4,13,99.5048821
14,40,47,79,4,4,13,99.32097793
15,40,47,79,4,4,13,99.39171076
16,32,56,80,4,4,18,99.51902628
17,32,56,80,4,4,18,99.5048821
18,32,56,80,4,4,18,99.19366241
19,32,56,80,4,4,18,99.33512807
20,35,59,80,4,7,17,99.66049194
21,35,59,80,4,7,17,99.6463418
22,37,59,80,4,7,15,99.44829345
23,38,61,83,4,9,18,99.56146479
24,38,61,83,4,9,18,99.56146479
25,38,61,83,4,9,18,99.16536808
26,38,61,83,4,9,18,99.19366241
27,38,61,97,4,9,18,99.66049194
28,38,61,97,4,9,18,99.08049107
29,38,61,97,4,9,18,99.22195673
30,38,61,98,4,9,16,99.67463613
31,38,61,98,4,9,16,99.20780659
32,38,61,98,4,9,16,99.33512807
33,44,65,83,11,9,20,99.43414927
34,44,65,83,11,9,20,99.32097793
35,44,65,83,11,9,20,99.43414927
36,44,65,83,11,9,20,99.19366241
37,44,65,83,11,9,20,99.32097793
38,44,65,83,11,9,20,99.30683374
39,44,65,83,11,9,20,99.40585494
40,44,65,83,11,9,20,99.42000508
41,44,65,83,11,9,20,99.06634688
42,44,65,83,11,9,20,99.12292957
43,41,66,97,7,10,19,99.5048821
44,41,66,97,7,10,19,99.43414927
45,41,66,97,7,10,19,99.32097793
46,43,73,100,14,17,19,99.81609583
47,43,73,100,14,17,19,99.1512239
48,43,73,100,14,17,19,99.58975911
49,43,73,100,14,17,19,99.68878031
50,43,73,100,14,17,19,99.20780659
51,43,73,100,14,17,19,99.47658777
52,43,73,100,14,17,19,99.5473206
53,43,73,100,14,17,19,99.60390329
