gen,conv1,conv2,conv3,filter1,filter2,filter3,acc,TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction,,acc_train
1,29,45,75,4,4,5,99.0522027,419,151,9,8,0.971039182,0.028960818,0.978971963,0.981264637,0.981264637,0.05625,0.94375,0.980116959,17,,97.10391823
2,29,45,75,4,4,5,99.02390838,419,152,9,7,0.97274276,0.02725724,0.978971963,0.983568075,0.983568075,0.055900621,0.944099379,0.981264637,16,,97.27427598
3,29,45,75,4,4,5,98.99561405,421,153,7,6,0.977853492,0.022146508,0.98364486,0.985948478,0.985948478,0.04375,0.95625,0.984795322,13,,97.78534923
4,29,45,75,4,4,5,98.78342152,419,150,9,9,0.969335605,0.030664395,0.978971963,0.978971963,0.978971963,0.056603774,0.943396226,0.978971963,18,,96.93356048
5,29,45,75,4,4,5,98.91073704,421,151,7,8,0.974446337,0.025553663,0.98364486,0.981351981,0.981351981,0.044303797,0.955696203,0.982497083,15,,97.44463373
6,32,49,75,5,4,5,99.09464121,420,153,8,6,0.976149915,0.023850085,0.981308411,0.985915493,0.985915493,0.049689441,0.950310559,0.983606557,14,,97.61499148
7,32,49,75,5,4,5,99.06634688,417,155,11,4,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15,,97.44463373
8,32,49,75,5,4,5,98.72683287,424,149,4,10,0.976149915,0.023850085,0.990654206,0.976958525,0.976958525,0.026143791,0.973856209,0.983758701,14,,97.61499148
9,32,49,75,5,4,5,98.88244271,419,152,9,7,0.97274276,0.02725724,0.978971963,0.983568075,0.983568075,0.055900621,0.944099379,0.981264637,16,,97.27427598
10,38,47,79,4,5,13,99.30683374,390,157,38,2,0.931856899,0.068143101,0.911214953,0.994897959,0.994897959,0.194871795,0.805128205,0.951219512,40,,93.18568995
11,37,47,77,4,4,11,99.32097793,413,156,15,3,0.969335605,0.030664395,0.964953271,0.992788462,0.992788462,0.087719298,0.912280702,0.978672986,18,,96.93356048
12,41,47,82,4,4,16,99.33512807,422,154,6,5,0.981260647,0.018739353,0.985981308,0.988290398,0.988290398,0.0375,0.9625,0.987134503,11,,98.12606474
13,40,47,79,4,4,13,99.5048821,419,155,9,4,0.977853492,0.022146508,0.978971963,0.990543735,0.990543735,0.054878049,0.945121951,0.984723854,13,,97.78534923
14,40,47,79,4,4,13,99.32097793,415,157,13,2,0.974446337,0.025553663,0.969626168,0.995203837,0.995203837,0.076470588,0.923529412,0.982248521,15,,97.44463373
15,40,47,79,4,4,13,99.39171076,416,152,12,7,0.967632027,0.032367973,0.971962617,0.983451537,0.983451537,0.073170732,0.926829268,0.977673325,19,,96.76320273
16,32,56,80,4,4,18,99.51902628,418,154,10,5,0.974446337,0.025553663,0.976635514,0.988179669,0.988179669,0.06097561,0.93902439,0.982373678,15,,97.44463373
17,32,56,80,4,4,18,99.5048821,422,153,6,6,0.97955707,0.02044293,0.985981308,0.985981308,0.985981308,0.037735849,0.962264151,0.985981308,12,,97.95570698
18,32,56,80,4,4,18,99.19366241,417,156,11,3,0.976149915,0.023850085,0.974299065,0.992857143,0.992857143,0.065868263,0.934131737,0.983490566,14,,97.61499148
19,32,56,80,4,4,18,99.33512807,421,153,7,6,0.977853492,0.022146508,0.98364486,0.985948478,0.985948478,0.04375,0.95625,0.984795322,13,,97.78534923
20,35,59,80,4,7,17,99.66049194,422,150,6,9,0.974446337,0.025553663,0.985981308,0.979118329,0.979118329,0.038461538,0.961538462,0.982537835,15,,97.44463373
21,35,59,80,4,7,17,99.6463418,418,151,10,8,0.969335605,0.030664395,0.976635514,0.981220657,0.981220657,0.062111801,0.937888199,0.978922717,18,,96.93356048
22,37,59,80,4,7,15,99.44829345,421,152,7,7,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14,,97.61499148
23,38,61,83,4,9,18,99.56146479,421,146,7,13,0.96592845,0.03407155,0.98364486,0.970046083,0.970046083,0.045751634,0.954248366,0.976798144,20,,96.59284497
24,38,61,83,4,9,18,99.56146479,403,158,25,1,0.955706985,0.044293015,0.941588785,0.997524752,0.997524752,0.136612022,0.863387978,0.96875,26,,95.57069847
25,38,61,83,4,9,18,99.16536808,420,154,8,5,0.977853492,0.022146508,0.981308411,0.988235294,0.988235294,0.049382716,0.950617284,0.984759672,13,,97.78534923
26,38,61,83,4,9,18,99.19366241,419,155,9,4,0.977853492,0.022146508,0.978971963,0.990543735,0.990543735,0.054878049,0.945121951,0.984723854,13,,97.78534923
27,38,61,97,4,9,18,99.66049194,420,152,8,7,0.974446337,0.025553663,0.981308411,0.983606557,0.983606557,0.05,0.95,0.98245614,15,,97.44463373
28,38,61,97,4,9,18,99.08049107,420,154,8,5,0.977853492,0.022146508,0.981308411,0.988235294,0.988235294,0.049382716,0.950617284,0.984759672,13,,97.78534923
29,38,61,97,4,9,18,99.22195673,418,152,10,7,0.971039182,0.028960818,0.976635514,0.983529412,0.983529412,0.061728395,0.938271605,0.98007034,17,,97.10391823
30,38,61,98,4,9,16,99.67463613,420,155,8,4,0.97955707,0.02044293,0.981308411,0.990566038,0.990566038,0.049079755,0.950920245,0.985915493,12,,97.95570698
31,38,61,98,4,9,16,99.20780659,416,156,12,3,0.974446337,0.025553663,0.971962617,0.992840095,0.992840095,0.071428571,0.928571429,0.982290437,15,,97.44463373
32,38,61,98,4,9,16,99.33512807,419,154,9,5,0.976149915,0.023850085,0.978971963,0.988207547,0.988207547,0.055214724,0.944785276,0.983568075,14,,97.61499148
33,44,65,83,11,9,20,99.43414927,415,155,13,4,0.971039182,0.028960818,0.969626168,0.990453461,0.990453461,0.077380952,0.922619048,0.979929162,17,,97.10391823
34,44,65,83,11,9,20,99.32097793,414,153,14,6,0.96592845,0.03407155,0.96728972,0.985714286,0.985714286,0.083832335,0.916167665,0.976415094,20,,96.59284497
35,44,65,83,11,9,20,99.43414927,415,156,13,3,0.97274276,0.02725724,0.969626168,0.992822967,0.992822967,0.076923077,0.923076923,0.98108747,16,,97.27427598
36,44,65,83,11,9,20,99.19366241,410,153,18,6,0.95911414,0.04088586,0.957943925,0.985576923,0.985576923,0.105263158,0.894736842,0.971563981,24,,95.91141397
37,44,65,83,11,9,20,99.32097793,414,153,14,6,0.96592845,0.03407155,0.96728972,0.985714286,0.985714286,0.083832335,0.916167665,0.976415094,20,,96.59284497
38,44,65,83,11,9,20,99.30683374,416,150,12,9,0.964224872,0.035775128,0.971962617,0.978823529,0.978823529,0.074074074,0.925925926,0.975381008,21,,96.42248722
39,44,65,83,11,9,20,99.40585494,416,152,12,7,0.967632027,0.032367973,0.971962617,0.983451537,0.983451537,0.073170732,0.926829268,0.977673325,19,,96.76320273
40,44,65,83,11,9,20,99.42000508,418,154,10,5,0.974446337,0.025553663,0.976635514,0.988179669,0.988179669,0.06097561,0.93902439,0.982373678,15,,97.44463373
41,44,65,83,11,9,20,99.06634688,391,153,37,6,0.926746167,0.073253833,0.913551402,0.98488665,0.98488665,0.194736842,0.805263158,0.947878788,43,,92.6746167
42,44,65,83,11,9,20,99.12292957,418,152,10,7,0.971039182,0.028960818,0.976635514,0.983529412,0.983529412,0.061728395,0.938271605,0.98007034,17,,97.10391823
43,41,66,97,7,10,19,99.5048821,415,157,13,2,0.974446337,0.025553663,0.969626168,0.995203837,0.995203837,0.076470588,0.923529412,0.982248521,15,,97.44463373
44,41,66,97,7,10,19,99.43414927,416,157,12,2,0.976149915,0.023850085,0.971962617,0.995215311,0.995215311,0.071005917,0.928994083,0.983451537,14,,97.61499148
45,41,66,97,7,10,19,99.32097793,407,156,21,3,0.95911414,0.04088586,0.950934579,0.992682927,0.992682927,0.118644068,0.881355932,0.971360382,24,,95.91141397
46,43,73,100,14,17,19,99.81609583,407,156,21,3,0.95911414,0.04088586,0.950934579,0.992682927,0.992682927,0.118644068,0.881355932,0.971360382,24,,95.91141397
47,43,73,100,14,17,19,99.1512239,404,154,24,5,0.950596252,0.049403748,0.943925234,0.987775061,0.987775061,0.134831461,0.865168539,0.965352449,29,,95.05962521
48,43,73,100,14,17,19,99.58975911,400,155,28,4,0.94548552,0.05451448,0.934579439,0.99009901,0.99009901,0.153005464,0.846994536,0.961538462,32,,94.54855196
49,43,73,100,14,17,19,99.68878031,403,151,25,8,0.943781942,0.056218058,0.941588785,0.98053528,0.98053528,0.142045455,0.857954545,0.960667461,33,,94.37819421
50,43,73,100,14,17,19,99.20780659,410,155,18,4,0.962521295,0.037478705,0.957943925,0.990338164,0.990338164,0.104046243,0.895953757,0.973871734,22,,96.25212947
51,43,73,100,14,17,19,99.47658777,403,156,25,3,0.95229983,0.04770017,0.941588785,0.992610837,0.992610837,0.138121547,0.861878453,0.966426859,28,,95.22998296
52,43,73,100,14,17,19,99.5473206,415,154,13,5,0.969335605,0.030664395,0.969626168,0.988095238,0.988095238,0.077844311,0.922155689,0.978773585,18,,96.93356048
53,43,73,100,14,17,19,99.60390329,406,150,22,9,0.947189097,0.052810903,0.948598131,0.978313253,0.978313253,0.127906977,0.872093023,0.963226572,31,,94.71890971
