TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
419,151,9,8,0.9710391822827938,0.028960817717206135,0.9789719626168224,0.9812646370023419,0.9812646370023419,0.05625,0.94375,0.9801169590643275,17
419,152,9,7,0.9727427597955707,0.027257240204429302,0.9789719626168224,0.9835680751173709,0.9835680751173709,0.055900621118012424,0.9440993788819876,0.9812646370023419,16
421,153,7,6,0.9778534923339012,0.022146507666098807,0.9836448598130841,0.9859484777517564,0.9859484777517564,0.04375,0.95625,0.9847953216374269,13
419,150,9,9,0.969335604770017,0.030664395229982964,0.9789719626168224,0.9789719626168224,0.9789719626168224,0.05660377358490566,0.9433962264150944,0.9789719626168224,18
421,151,7,8,0.9744463373083475,0.02555366269165247,0.9836448598130841,0.9813519813519813,0.9813519813519813,0.04430379746835443,0.9556962025316456,0.9824970828471412,15
420,153,8,6,0.9761499148211243,0.02385008517887564,0.9813084112149533,0.9859154929577465,0.9859154929577465,0.049689440993788817,0.9503105590062112,0.9836065573770493,14
417,155,11,4,0.9744463373083475,0.02555366269165247,0.9742990654205608,0.9904988123515439,0.9904988123515439,0.06626506024096386,0.9337349397590361,0.9823321554770318,15
424,149,4,10,0.9761499148211243,0.02385008517887564,0.9906542056074766,0.9769585253456221,0.9769585253456221,0.026143790849673203,0.9738562091503268,0.9837587006960556,14
419,152,9,7,0.9727427597955707,0.027257240204429302,0.9789719626168224,0.9835680751173709,0.9835680751173709,0.055900621118012424,0.9440993788819876,0.9812646370023419,16
390,157,38,2,0.9318568994889267,0.06814310051107325,0.9112149532710281,0.9948979591836735,0.9948979591836735,0.19487179487179487,0.8051282051282052,0.9512195121951219,40
413,156,15,3,0.969335604770017,0.030664395229982964,0.9649532710280374,0.9927884615384616,0.9927884615384616,0.08771929824561403,0.9122807017543859,0.9786729857819906,18
422,154,6,5,0.9812606473594548,0.018739352640545145,0.985981308411215,0.9882903981264637,0.9882903981264637,0.0375,0.9625,0.9871345029239766,11
419,155,9,4,0.9778534923339012,0.022146507666098807,0.9789719626168224,0.9905437352245863,0.9905437352245863,0.054878048780487805,0.9451219512195121,0.9847238542890717,13
415,157,13,2,0.9744463373083475,0.02555366269165247,0.969626168224299,0.9952038369304557,0.9952038369304557,0.07647058823529412,0.9235294117647059,0.9822485207100592,15
416,152,12,7,0.9676320272572402,0.03236797274275979,0.9719626168224299,0.983451536643026,0.983451536643026,0.07317073170731707,0.926829268292683,0.9776733254994124,19
418,154,10,5,0.9744463373083475,0.02555366269165247,0.9766355140186916,0.9881796690307328,0.9881796690307328,0.06097560975609756,0.9390243902439024,0.982373678025852,15
422,153,6,6,0.979557069846678,0.020442930153321975,0.985981308411215,0.985981308411215,0.985981308411215,0.03773584905660377,0.9622641509433962,0.985981308411215,12
417,156,11,3,0.9761499148211243,0.02385008517887564,0.9742990654205608,0.9928571428571429,0.9928571428571429,0.0658682634730539,0.9341317365269461,0.9834905660377359,14
421,153,7,6,0.9778534923339012,0.022146507666098807,0.9836448598130841,0.9859484777517564,0.9859484777517564,0.04375,0.95625,0.9847953216374269,13
422,150,6,9,0.9744463373083475,0.02555366269165247,0.985981308411215,0.9791183294663574,0.9791183294663574,0.038461538461538464,0.9615384615384616,0.9825378346915018,15
418,151,10,8,0.969335604770017,0.030664395229982964,0.9766355140186916,0.9812206572769953,0.9812206572769953,0.062111801242236024,0.937888198757764,0.9789227166276346,18
421,152,7,7,0.9761499148211243,0.02385008517887564,0.9836448598130841,0.9836448598130841,0.9836448598130841,0.0440251572327044,0.9559748427672956,0.9836448598130841,14
421,146,7,13,0.9659284497444633,0.034071550255536626,0.9836448598130841,0.9700460829493087,0.9700460829493087,0.0457516339869281,0.954248366013072,0.9767981438515081,20
403,158,25,1,0.9557069846678024,0.044293015332197615,0.9415887850467289,0.9975247524752475,0.9975247524752475,0.1366120218579235,0.8633879781420765,0.9687499999999999,26
420,154,8,5,0.9778534923339012,0.022146507666098807,0.9813084112149533,0.9882352941176471,0.9882352941176471,0.04938271604938271,0.9506172839506173,0.9847596717467761,13
419,155,9,4,0.9778534923339012,0.022146507666098807,0.9789719626168224,0.9905437352245863,0.9905437352245863,0.054878048780487805,0.9451219512195121,0.9847238542890717,13
420,152,8,7,0.9744463373083475,0.02555366269165247,0.9813084112149533,0.9836065573770492,0.9836065573770492,0.05,0.95,0.9824561403508772,15
420,154,8,5,0.9778534923339012,0.022146507666098807,0.9813084112149533,0.9882352941176471,0.9882352941176471,0.04938271604938271,0.9506172839506173,0.9847596717467761,13
418,152,10,7,0.9710391822827938,0.028960817717206135,0.9766355140186916,0.9835294117647059,0.9835294117647059,0.06172839506172839,0.9382716049382716,0.9800703399765534,17
420,155,8,4,0.979557069846678,0.020442930153321975,0.9813084112149533,0.9905660377358491,0.9905660377358491,0.049079754601226995,0.950920245398773,0.9859154929577464,12
416,156,12,3,0.9744463373083475,0.02555366269165247,0.9719626168224299,0.9928400954653938,0.9928400954653938,0.07142857142857142,0.9285714285714286,0.9822904368358913,15
419,154,9,5,0.9761499148211243,0.02385008517887564,0.9789719626168224,0.9882075471698113,0.9882075471698113,0.05521472392638037,0.9447852760736196,0.9835680751173709,14
415,155,13,4,0.9710391822827938,0.028960817717206135,0.969626168224299,0.9904534606205251,0.9904534606205251,0.07738095238095238,0.9226190476190477,0.9799291617473436,17
414,153,14,6,0.9659284497444633,0.034071550255536626,0.9672897196261683,0.9857142857142858,0.9857142857142858,0.08383233532934131,0.9161676646706587,0.9764150943396227,20
