number,TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
1,414,153,14,6,0.96592845,0.03407155,0.96728972,0.985714286,0.985714286,0.083832335,0.916167665,0.976415094,20
2,420,150,8,9,0.971039182,0.028960818,0.981308411,0.979020979,0.979020979,0.050632911,0.949367089,0.980163361,17
3,420,154,8,5,0.977853492,0.022146508,0.981308411,0.988235294,0.988235294,0.049382716,0.950617284,0.984759672,13
4,418,154,10,5,0.974446337,0.025553663,0.976635514,0.988179669,0.988179669,0.06097561,0.93902439,0.982373678,15
5,421,154,7,5,0.97955707,0.02044293,0.98364486,0.988262911,0.988262911,0.043478261,0.956521739,0.985948478,12
6,417,155,11,4,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
7,421,155,7,4,0.981260647,0.018739353,0.98364486,0.990588235,0.990588235,0.043209877,0.956790123,0.987104338,11
8,413,155,15,4,0.967632027,0.032367973,0.964953271,0.990407674,0.990407674,0.088235294,0.911764706,0.977514793,19
9,418,155,10,4,0.976149915,0.023850085,0.976635514,0.990521327,0.990521327,0.060606061,0.939393939,0.983529412,14
10,416,151,12,8,0.96592845,0.03407155,0.971962617,0.981132075,0.981132075,0.073619632,0.926380368,0.976525822,20
11,415,154,13,5,0.969335605,0.030664395,0.969626168,0.988095238,0.988095238,0.077844311,0.922155689,0.978773585,18
12,421,154,7,5,0.97955707,0.02044293,0.98364486,0.988262911,0.988262911,0.043478261,0.956521739,0.985948478,12
13,411,155,17,4,0.964224872,0.035775128,0.960280374,0.990361446,0.990361446,0.098837209,0.901162791,0.975088968,21
14,413,158,15,1,0.97274276,0.02725724,0.964953271,0.997584541,0.997584541,0.086705202,0.913294798,0.980997625,16
15,418,153,10,6,0.97274276,0.02725724,0.976635514,0.985849057,0.985849057,0.061349693,0.938650307,0.981220657,16
