gen,conv1,conv2,conv3,filter1,filter2,filter3,TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
9,45,46,91,6,5,17,423,154,5,5,0.982964225,0.017035775,0.988317757,0.988317757,0.988317757,0.031446541,0.968553459,0.988317757,10
1,29,45,75,4,4,5,421,153,7,6,0.977853492,0.022146508,0.98364486,0.985948478,0.985948478,0.04375,0.95625,0.984795322,13
11,47,49,96,5,5,19,420,154,8,5,0.977853492,0.022146508,0.981308411,0.988235294,0.988235294,0.049382716,0.950617284,0.984759672,13
2,29,45,77,5,4,8,418,155,10,4,0.976149915,0.023850085,0.976635514,0.990521327,0.990521327,0.060606061,0.939393939,0.983529412,14
4,29,45,93,6,4,10,419,154,9,5,0.976149915,0.023850085,0.978971963,0.988207547,0.988207547,0.055214724,0.944785276,0.983568075,14
3,18,46,86,5,7,10,419,153,9,6,0.974446337,0.025553663,0.978971963,0.985882353,0.985882353,0.055555556,0.944444444,0.982415006,15
6,35,45,94,6,5,14,420,152,8,7,0.974446337,0.025553663,0.981308411,0.983606557,0.983606557,0.05,0.95,0.98245614,15
5,29,45,91,4,4,12,418,153,10,6,0.97274276,0.02725724,0.976635514,0.985849057,0.985849057,0.061349693,0.938650307,0.981220657,16
10,47,49,91,5,5,20,413,153,15,6,0.964224872,0.035775128,0.964953271,0.985680191,0.985680191,0.089285714,0.910714286,0.975206612,21
8,35,45,86,5,4,11,411,154,17,5,0.962521295,0.037478705,0.960280374,0.987980769,0.987980769,0.099415205,0.900584795,0.973933649,22
7,43,45,93,5,5,17,407,154,21,5,0.955706985,0.044293015,0.950934579,0.987864078,0.987864078,0.12,0.88,0.969047619,26
