TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
424,151,4,8,0.979557069846678,0.020442930153321975,0.9906542056074766,0.9814814814814815,0.9814814814814815,0.025806451612903226,0.9741935483870968,0.986046511627907,12
420,149,8,10,0.969335604770017,0.030664395229982964,0.9813084112149533,0.9767441860465116,0.9767441860465116,0.050955414012738856,0.9490445859872612,0.979020979020979,18
418,156,10,3,0.9778534923339012,0.022146507666098807,0.9766355140186916,0.9928741092636579,0.9928741092636579,0.060240963855421686,0.9397590361445783,0.9846878680800941,13
414,153,14,6,0.9659284497444633,0.034071550255536626,0.9672897196261683,0.9857142857142858,0.9857142857142858,0.08383233532934131,0.9161676646706587,0.9764150943396227,20
420,154,8,5,0.9778534923339012,0.022146507666098807,0.9813084112149533,0.9882352941176471,0.9882352941176471,0.04938271604938271,0.9506172839506173,0.9847596717467761,13
419,152,9,7,0.9727427597955707,0.027257240204429302,0.9789719626168224,0.9835680751173709,0.9835680751173709,0.055900621118012424,0.9440993788819876,0.9812646370023419,16
423,154,5,5,0.9829642248722317,0.017035775127768313,0.9883177570093458,0.9883177570093458,0.9883177570093458,0.031446540880503145,0.9685534591194969,0.9883177570093458,10
415,154,13,5,0.969335604770017,0.030664395229982964,0.969626168224299,0.9880952380952381,0.9880952380952381,0.07784431137724551,0.9221556886227545,0.9787735849056605,18
420,155,8,4,0.979557069846678,0.020442930153321975,0.9813084112149533,0.9905660377358491,0.9905660377358491,0.049079754601226995,0.950920245398773,0.9859154929577464,12
421,151,7,8,0.9744463373083475,0.02555366269165247,0.9836448598130841,0.9813519813519813,0.9813519813519813,0.04430379746835443,0.9556962025316456,0.9824970828471412,15
418,151,10,8,0.969335604770017,0.030664395229982964,0.9766355140186916,0.9812206572769953,0.9812206572769953,0.062111801242236024,0.937888198757764,0.9789227166276346,18
