TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
424,151,4,8,0.97955707,0.02044293,0.990654206,0.981481481,0.981481481,0.025806452,0.974193548,0.986046512,12
420,149,8,10,0.969335605,0.030664395,0.981308411,0.976744186,0.976744186,0.050955414,0.949044586,0.979020979,18
418,156,10,3,0.977853492,0.022146508,0.976635514,0.992874109,0.992874109,0.060240964,0.939759036,0.984687868,13
414,153,14,6,0.96592845,0.03407155,0.96728972,0.985714286,0.985714286,0.083832335,0.916167665,0.976415094,20
420,154,8,5,0.977853492,0.022146508,0.981308411,0.988235294,0.988235294,0.049382716,0.950617284,0.984759672,13
419,152,9,7,0.97274276,0.02725724,0.978971963,0.983568075,0.983568075,0.055900621,0.944099379,0.981264637,16
423,154,5,5,0.982964225,0.017035775,0.988317757,0.988317757,0.988317757,0.031446541,0.968553459,0.988317757,10
415,154,13,5,0.969335605,0.030664395,0.969626168,0.988095238,0.988095238,0.077844311,0.922155689,0.978773585,18
420,155,8,4,0.97955707,0.02044293,0.981308411,0.990566038,0.990566038,0.049079755,0.950920245,0.985915493,12
421,151,7,8,0.974446337,0.025553663,0.98364486,0.981351981,0.981351981,0.044303797,0.955696203,0.982497083,15
418,151,10,8,0.969335605,0.030664395,0.976635514,0.981220657,0.981220657,0.062111801,0.937888199,0.978922717,18
413,156,15,3,0.969335605,0.030664395,0.964953271,0.992788462,0.992788462,0.087719298,0.912280702,0.978672986,18
422,153,6,6,0.97955707,0.02044293,0.985981308,0.985981308,0.985981308,0.037735849,0.962264151,0.985981308,12
423,151,5,8,0.977853492,0.022146508,0.988317757,0.981438515,0.981438515,0.032051282,0.967948718,0.984866123,13
419,151,9,8,0.971039182,0.028960818,0.978971963,0.981264637,0.981264637,0.05625,0.94375,0.980116959,17
415,156,13,3,0.97274276,0.02725724,0.969626168,0.992822967,0.992822967,0.076923077,0.923076923,0.98108747,16
417,154,11,5,0.97274276,0.02725724,0.974299065,0.988151659,0.988151659,0.066666667,0.933333333,0.981176471,16
419,150,9,9,0.969335605,0.030664395,0.978971963,0.978971963,0.978971963,0.056603774,0.943396226,0.978971963,18
421,154,7,5,0.97955707,0.02044293,0.98364486,0.988262911,0.988262911,0.043478261,0.956521739,0.985948478,12
419,157,9,2,0.981260647,0.018739353,0.978971963,0.995249406,0.995249406,0.054216867,0.945783133,0.987043581,11
417,153,11,6,0.971039182,0.028960818,0.974299065,0.985815603,0.985815603,0.067073171,0.932926829,0.980023502,17
417,155,11,4,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
417,153,11,6,0.971039182,0.028960818,0.974299065,0.985815603,0.985815603,0.067073171,0.932926829,0.980023502,17
416,155,12,4,0.97274276,0.02725724,0.971962617,0.99047619,0.99047619,0.071856287,0.928143713,0.981132075,16
413,153,15,6,0.964224872,0.035775128,0.964953271,0.985680191,0.985680191,0.089285714,0.910714286,0.975206612,21
417,153,11,6,0.971039182,0.028960818,0.974299065,0.985815603,0.985815603,0.067073171,0.932926829,0.980023502,17
422,155,6,4,0.982964225,0.017035775,0.985981308,0.990610329,0.990610329,0.037267081,0.962732919,0.988290398,10
418,155,10,4,0.976149915,0.023850085,0.976635514,0.990521327,0.990521327,0.060606061,0.939393939,0.983529412,14
413,153,15,6,0.964224872,0.035775128,0.964953271,0.985680191,0.985680191,0.089285714,0.910714286,0.975206612,21
416,156,12,3,0.974446337,0.025553663,0.971962617,0.992840095,0.992840095,0.071428571,0.928571429,0.982290437,15
418,155,10,4,0.976149915,0.023850085,0.976635514,0.990521327,0.990521327,0.060606061,0.939393939,0.983529412,14
415,155,13,4,0.971039182,0.028960818,0.969626168,0.990453461,0.990453461,0.077380952,0.922619048,0.979929162,17
415,155,13,4,0.971039182,0.028960818,0.969626168,0.990453461,0.990453461,0.077380952,0.922619048,0.979929162,17
415,154,13,5,0.969335605,0.030664395,0.969626168,0.988095238,0.988095238,0.077844311,0.922155689,0.978773585,18
418,153,10,6,0.97274276,0.02725724,0.976635514,0.985849057,0.985849057,0.061349693,0.938650307,0.981220657,16
414,154,14,5,0.967632027,0.032367973,0.96728972,0.988066826,0.988066826,0.083333333,0.916666667,0.977567887,19
415,156,13,3,0.97274276,0.02725724,0.969626168,0.992822967,0.992822967,0.076923077,0.923076923,0.98108747,16
413,155,15,4,0.967632027,0.032367973,0.964953271,0.990407674,0.990407674,0.088235294,0.911764706,0.977514793,19
417,155,11,4,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
419,153,9,6,0.974446337,0.025553663,0.978971963,0.985882353,0.985882353,0.055555556,0.944444444,0.982415006,15
412,153,16,6,0.962521295,0.037478705,0.962616822,0.985645933,0.985645933,0.094674556,0.905325444,0.973995272,22
417,154,11,5,0.97274276,0.02725724,0.974299065,0.988151659,0.988151659,0.066666667,0.933333333,0.981176471,16
419,153,9,6,0.974446337,0.025553663,0.978971963,0.985882353,0.985882353,0.055555556,0.944444444,0.982415006,15
412,156,16,3,0.967632027,0.032367973,0.962616822,0.992771084,0.992771084,0.093023256,0.906976744,0.977461447,19
413,155,15,4,0.967632027,0.032367973,0.964953271,0.990407674,0.990407674,0.088235294,0.911764706,0.977514793,19
417,155,11,4,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
420,149,8,10,0.969335605,0.030664395,0.981308411,0.976744186,0.976744186,0.050955414,0.949044586,0.979020979,18
416,154,12,5,0.971039182,0.028960818,0.971962617,0.988123515,0.988123515,0.072289157,0.927710843,0.979976443,17
417,155,11,4,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
415,154,13,5,0.969335605,0.030664395,0.969626168,0.988095238,0.988095238,0.077844311,0.922155689,0.978773585,18
415,152,13,7,0.96592845,0.03407155,0.969626168,0.983412322,0.983412322,0.078787879,0.921212121,0.976470588,20
412,153,16,6,0.962521295,0.037478705,0.962616822,0.985645933,0.985645933,0.094674556,0.905325444,0.973995272,22
