gen,conv1,conv2,conv3,filter1,filter2,filter3,acc
1,29,45,75,4,4,5,99.32097793
2,29,45,75,4,4,5,99.17951822
3,29,45,75,4,4,5,99.19366241
4,29,45,75,4,4,5,99.23610091
5,29,45,75,4,4,5,99.0522027
6,29,45,75,4,4,5,99.26439524
7,29,45,75,4,4,5,99.20780659
8,29,45,77,5,4,8,99.36341643
9,18,46,86,5,7,10,99.58975911
10,18,46,86,5,7,10,99.43414927
11,18,46,86,5,7,10,99.43414927
12,29,45,93,6,4,10,99.26439524
13,29,45,91,4,4,12,99.51902628
14,29,45,91,4,4,12,99.26439524
15,29,45,91,4,4,12,99.49073195
16,29,45,91,4,4,12,99.46244359
17,29,45,91,4,4,12,99.32097793
18,29,45,91,4,4,12,99.1512239
19,29,45,91,4,4,12,99.34927225
20,29,45,91,4,4,12,99.25024509
21,29,45,91,4,4,12,99.44829345
22,35,45,94,6,5,14,99.56146479
23,43,45,93,5,5,17,99.60390329
24,43,45,93,5,5,17,99.56146479
25,43,45,93,5,5,17,99.57560897
26,43,45,93,5,5,17,99.57560897
27,35,45,86,5,4,11,99.6463418
28,35,45,86,5,4,11,99.60390329
29,43,45,93,5,5,17,99.73121881
30,43,45,93,5,5,17,99.42000508
31,43,45,93,5,5,17,99.51902628
32,43,45,93,5,5,17,99.43414927
33,43,45,93,5,5,17,99.61805344
34,45,46,91,6,5,17,99.5048821
35,45,46,91,6,5,17,99.17951822
36,45,46,91,6,5,17,99.44829345
37,47,49,91,5,5,20,99.63219762
38,47,49,91,5,5,20,99.32097793
39,47,49,91,5,5,20,99.34927225
40,47,49,91,5,5,20,99.67463613
41,47,49,91,5,5,20,99.47658777
42,47,49,91,5,5,20,99.66049194
43,47,49,91,5,5,20,99.49073195
44,47,49,91,5,5,20,99.39171076
45,47,49,91,5,5,20,99.26439524
46,47,49,91,5,5,20,99.47658777
47,47,49,96,5,5,19,99.80195165
48,47,49,96,5,5,19,99.39171076
49,47,49,96,5,5,19,99.46244359
50,47,49,96,5,5,19,99.56146479
51,47,49,96,5,5,19,99.67463613
52,47,49,96,5,5,19,99.37756658
