Number,TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
1,424,150,4,9,0.977853492,0.022146508,0.990654206,0.979214781,0.979214781,0.025974026,0.974025974,0.984901278,13
2,417,155,11,4,0.974446337,0.025553663,0.974299065,0.990498812,0.990498812,0.06626506,0.93373494,0.982332155,15
3,422,152,6,7,0.977853492,0.022146508,0.985981308,0.983682984,0.983682984,0.037974684,0.962025316,0.984830805,13
4,423,155,5,4,0.984667802,0.015332198,0.988317757,0.990632319,0.990632319,0.03125,0.96875,0.989473684,9
5,424,153,4,6,0.982964225,0.017035775,0.990654206,0.986046512,0.986046512,0.025477707,0.974522293,0.988344988,10
6,420,152,8,7,0.974446337,0.025553663,0.981308411,0.983606557,0.983606557,0.05,0.95,0.98245614,15
7,414,154,14,5,0.967632027,0.032367973,0.96728972,0.988066826,0.988066826,0.083333333,0.916666667,0.977567887,19
8,419,155,9,4,0.977853492,0.022146508,0.978971963,0.990543735,0.990543735,0.054878049,0.945121951,0.984723854,13
9,411,158,17,1,0.969335605,0.030664395,0.960280374,0.997572816,0.997572816,0.097142857,0.902857143,0.978571429,18
10,411,152,17,7,0.95911414,0.04088586,0.960280374,0.983253589,0.983253589,0.100591716,0.899408284,0.971631206,24
11,417,153,11,6,0.971039182,0.028960818,0.974299065,0.985815603,0.985815603,0.067073171,0.932926829,0.980023502,17
12,415,156,13,3,0.97274276,0.02725724,0.969626168,0.992822967,0.992822967,0.076923077,0.923076923,0.98108747,16
13,416,156,12,3,0.974446337,0.025553663,0.971962617,0.992840095,0.992840095,0.071428571,0.928571429,0.982290437,15
14,413,152,15,7,0.962521295,0.037478705,0.964953271,0.983333333,0.983333333,0.089820359,0.910179641,0.974056604,22
